Артикул;Ozon Product ID;SKU;Barcode;Контент-рейтинг;Бренд;Метки;Отзывы;Рейтинг;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
BBB_Blue_9912;36188140;573940468;2,76513E+12;'70;KEEPHONE;;34;'4.90;Чехлы;Чехол для смартфона;'0.41;'0.1;0;0;0;0;0;5990.0;7490.0;;0%
DDD_Titanium_1174;70809079;389983313;3,34494E+12;'70;KZDOO;;1;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;9980.0;11990.0;;0%
DDD_Green_9674;92465778;581689542;RND877797041;'70;KZDOO;;2;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;9980.0;11990.0;;0%
EEE_Black_9568;21167732;937003203;6,94258E+12;'70;KZDOO;;2;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;1;0;0;9980.0;11990.0;;0%
CCC_Blue_4612;41313579;786915344;RND787472751;'75;REMAX;;10;'0.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;7;0;0;0;0;1200.0;4900.0;;0%
GGG_Blue_2506;51965767;990893710;RND278471037;'82.5;REMAX;;149;'5.00;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;0;0;95;0;2;1380.0;4900.0;;0%
AAA_White_5701;53858511;241194264;RND748746363;'70;KEEPHONE;;37;'5.00;Чехлы;Чехол для смартфона;'0.39;'0.1;0;0;0;0;0;2950.0;3990.0;;0%
CCC_Red_3462;31270055;349324318;6,46074E+12;'70;K-DOO;;3;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;13;0;0;0;0;7180.0;11990.0;;0%
GGG_Blue_1183;83514799;967892307;3,5278E+12;'70;K-DOO;;1;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;7180.0;11990.0;;0%
HHH_Black_7854;67732421;631061423;2,54681E+12;'45;K-DOO;;7;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;7300.0;11990.0;;0%
AAA_White_4614;39181299;136036109;8,67421E+12;'45;K-DOO;;0;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;9;0;0;0;0;7180.0;11990.0;;0%
GGG_Black_5293;87769242;716409667;RND777982915;'70;K-DOO;;2;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;3590.0;4990.0;;0%
DDD_Green_4790;21090709;591164840;RND768269945;'65;Varta;;17;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;464;0;2;1540.0;4900.0;;0%
HHH_Pink_2327;19259686;816919507;RND536799098;'65;Varta;;6;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;80;0;0;2000.0;7900.0;;0%
BBB_Titanium_7452;80225576;447063964;1,82283E+12;'65;Varta;;21;'4.90;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;465;0;0;1360.0;4900.0;;0%
GGG_Clear_8073;21837136;132739065;RND793044093;'82.5;Varta;;70;'4.90;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;390;0;0;2300.0;7900.0;;0%
DDD_Purple_3677;41515025;637541578;RND155673315;'65;Varta;;0;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;1;0;24;0;0;980.0;4900.0;;0%
CCC_White_6197;28865428;552953791;4,42608E+12;'65;Varta;;4;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;102;0;0;1900.0;7900.0;;0%
CCC_Pink_8919;20765137;910453505;7,66886E+12;'75;REMAX;;24;'4.40;Защитные пленки и стекла;Защитное стекло;'0.17;'0.1;4;0;10;0;0;1580.0;7900.0;;0%
EEE_Purple_3010;61490753;593898083;1,05901E+12;'65;Renata;;11;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;7;0;0;1140.0;4900.0;;0%
GGG_Red_4578;11854043;220508254;6,56462E+12;'65;Renata;;10;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;501;0;0;1900.0;7900.0;;0%
EEE_Green_9769;28105424;930349490;RND723490175;'65;Renata;;20;'4.90;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;478;0;0;1980.0;7900.0;;0%
EEE_Purple_3803;26492321;252837027;RND201657734;'65;Renata;;1;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;489;0;0;2300.0;7900.0;;0%
EEE_Purple_4363;89828981;818961753;RND843913797;'65;Renata;;3;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;0;0;0;1890.0;2990.0;;0%
HHH_Clear_3600;12636113;458048377;RND787554290;'65;Renata;;5;'5.00;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;0;0;0;0;0;1000.0;1500.0;;0%
GGG_Green_9259;72395314;712191581;RND975088648;'87.5;KEEPHONE;;46;'5.00;Чехлы;Чехол для смартфона;'0.28;'0.1;0;0;0;0;0;2990.0;4750.0;;0%
DDD_Pink_5595;11135499;439161859;5,67876E+12;'87.5;KEEPHONE;;62;'4.90;Чехлы;Чехол для смартфона;'0.28;'0.1;1;0;6;0;0;5980.0;11990.0;;0%
