Артикул;Ozon Product ID;SKU;Barcode;Контент-рейтинг;Бренд;Метки;Отзывы;Рейтинг;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
CCC_Black_1285;55594711;497235076;RND669725735;'87.5;KZDOO;;105;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;15;0;10;0;0;3162.0;11990.0;;0%
CCC_Pink_6619;12001967;271880587;RND910904490;'77.5;KZDOO;;8;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;10;0;0;2900.0;11990.0;;0%
EEE_Purple_6829;12494667;274873458;RND503730236;'77.5;KZDOO;;19;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;7;0;10;0;0;2980.0;11990.0;;0%
FFF_Blue_4443;56052630;377543106;RND130010615;'77.5;KZDOO;;18;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;2780.0;11990.0;;0%
BBB_Pink_6473;79237303;910641763;1,47292E+12;'77.5;KZDOO;;5;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;7;0;0;0;0;2980.0;11990.0;;0%
CCC_Purple_7445;32997683;221000498;4,06964E+12;'77.5;KZDOO;;16;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;0;0;0;2780.0;11990.0;;0%
EEE_Black_8254;87897147;775262168;RND282279926;'77.5;KZDOO;;46;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;2780.0;11990.0;;0%
GGG_Pink_1893;47335358;414470960;RND819313357;'70;KZDOO;;9;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;2780.0;11990.0;;0%
AAA_Blue_6809;18893470;921206969;2,35508E+12;'77.5;KZDOO;;15;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;12;0;0;0;0;2780.0;11990.0;;0%
DDD_Clear_2056;30184321;176275845;5,28729E+12;'77.5;KZDOO;;19;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;9;0;0;2780.0;11990.0;;0%
CCC_Purple_8405;13377517;688945426;RND233786515;'77.5;KZDOO;;64;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;10;0;0;2780.0;11990.0;;0%
AAA_Purple_3253;74559111;415093709;RND494426848;'70;KZDOO;;2;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1390.0;1990.0;;0%
BBB_Green_6494;82562635;546910981;RND560326879;'77.5;KZDOO;;5;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;2780.0;11990.0;;0%
GGG_Green_2022;95405398;437463218;RND579485519;'52.5;KZDOO;;33;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;2100.0;7900.0;;0%
BBB_Black_7878;91592163;298858937;4,74882E+12;'52.5;KZDOO;;189;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;2580.0;11990.0;;0%
GGG_Purple_5307;99772524;806617150;RND840655268;'52.5;KZDOO;;23;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1100.0;1990.0;;0%
GGG_Purple_5633;91964708;215758819;RND180367361;'52.5;KZDOO;;109;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;2380.0;7900.0;;0%
AAA_Blue_9288;50394726;883194888;6,92172E+12;'65;Robiton;;20;'4.90;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;48;0;0;0;0;600.0;2900.0;;0%
DDD_Blue_4543;28732161;640551043;5,67773E+12;'77.5;Robiton;;24;'0.00;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;0;0;0;0;0;490.0;1100.0;;0%
GGG_Black_5356;64096625;398060403;7,93406E+12;'70;Robiton;;58;'4.90;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;161;0;152;0;0;700.0;2900.0;;0%
FFF_Purple_3751;60315278;535483836;8,15327E+12;'70;Robiton;;48;'4.90;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;4;0;56;0;0;1020.0;4900.0;;0%
AAA_Titanium_7555;54421974;886615784;RND858752290;'70;Robiton;;25;'4.90;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;2;0;0;0;0;520.0;2490.0;;0%
DDD_Blue_6449;93363944;740626746;8,90477E+12;'70;Robiton;;32;'4.90;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;2;0;0;0;0;580.0;2900.0;;0%
AAA_Green_9915;37600233;485482847;6,77182E+12;'70;Robiton;;17;'4.90;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;1;0;38;0;0;980.0;4900.0;;0%
GGG_Clear_9364;78206062;763185764;4,40149E+12;'70;Robiton;;92;'4.90;Батарейки и аккумуляторы;Батарейка;'0.02;'0.1;96;0;40;0;0;980.0;4900.0;;0%
EEE_Purple_9274;25744117;242947152;RND628887276;'70;Robiton;;92;'4.90;Батарейки и аккумуляторы;Батарейка;'0.05;'0.1;31;0;101;0;0;1440.0;4900.0;;0%
HHH_Pink_8731;78746042;501649578;RND829433302;'70;Robiton;;21;'5.00;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;58;0;150;0;0;560.0;2490.0;;0%
DDD_Clear_6349;25990523;762281400;RND994735702;'70;Robiton;;51;'5.00;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;49;0;71;0;0;680.0;2900.0;;0%
AAA_Black_2640;88663806;333774632;RND963072093;'70;Robiton;;14;'5.00;Батарейки и аккумуляторы;Батарейка;'0.02;'0.1;0;0;44;0;0;1020.0;4900.0;;0%
FFF_Blue_9955;86131619;153003108;RND829933646;'70;Robiton;;91;'4.80;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;62;0;0;0;0;640.0;2900.0;;0%
CCC_Clear_4340;13837776;356472440;RND280029231;'77.5;Robiton;;282;'4.80;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;171;0;74;0;0;900.0;2900.0;;0%
GGG_White_4936;42522552;586230397;RND182990884;'70;Robiton;;184;'4.80;Батарейки и аккумуляторы;Батарейка;'0.02;'0.1;29;0;44;0;0;1080.0;4900.0;;0%
BBB_Red_5004;70074612;477575518;1,93009E+12;'82.5;Robiton;;15;'4.60;Батарейки и аккумуляторы;Батарейка;'0.03;'0.1;1;0;6;0;0;2860.0;11990.0;;0%
GGG_Purple_1694;66519859;276576738;RND621693278;'70;Robiton;;3;'4.60;Батарейки и аккумуляторы;Батарейка;'0.07;'0.1;0;0;499;0;0;4900.0;11990.0;;0%
CCC_Titanium_7873;86076744;975467305;RND540499732;'70;Robiton;;93;'0.00;Батарейки и аккумуляторы;Батарейка;'0.03;'0.1;0;0;0;0;0;850.0;1490.0;;0%
DDD_Red_2385;12911883;198955434;RND755991622;'82.5;Robiton;;432;'4.90;Батарейки и аккумуляторы;Батарейка;'0.04;'0.1;55;0;35;0;0;680.0;2900.0;;0%
EEE_Purple_4483;33346489;732039106;RND324403517;'82.5;Robiton;;314;'4.90;Батарейки и аккумуляторы;Батарейка;'0.06;'0.1;95;0;15;0;0;1060.0;4900.0;;0%
EEE_Blue_2822;94632310;642153752;3,287E+12;'70;Robiton;;14;'4.90;Батарейки и аккумуляторы;Батарейка;'0.16;'0.1;1;0;9;0;0;1160.0;4900.0;;0%
FFF_Clear_3735;62021585;108735118;6,00936E+12;'70;Robiton;;146;'4.90;Батарейки и аккумуляторы;Батарейка;'0.24;'0.1;95;0;104;0;0;1860.0;7900.0;;0%
EEE_White_2537;60679385;945237473;8,22724E+12;'70;Robiton;;63;'4.90;Батарейки и аккумуляторы;Батарейка;'0.16;'0.1;0;0;80;0;0;1340.0;4900.0;;0%
HHH_Purple_7702;32717202;573183062;RND189339596;'70;Robiton;;141;'4.90;Батарейки и аккумуляторы;Батарейка;'0.24;'0.1;28;0;98;0;0;2320.0;7900.0;;0%
EEE_Green_9886;46518137;748517418;RND179093681;'82.5;Robiton;;263;'4.80;Батарейки и аккумуляторы;Батарейка;'0.05;'0.1;56;0;79;0;0;1560.0;4900.0;;0%
GGG_Clear_4484;84863522;101052240;8,94582E+12;'70;Robiton;;109;'4.80;Батарейки и аккумуляторы;Батарейка;'0.11;'0.1;52;0;100;0;0;2460.0;11990.0;;0%
DDD_Black_2486;29875570;351961668;RND699836858;'70;Robiton;;178;'4.90;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;51;0;110;0;0;660.0;2900.0;;0%
BBB_Black_9198;49649549;157529339;9,5572E+12;'70;Robiton;;193;'4.90;Батарейки и аккумуляторы;Батарейка;'0.02;'0.1;7;0;476;0;0;880.0;2900.0;;0%
CCC_Green_7276;41999620;844249397;RND988145110;'70;Robiton;;78;'4.90;Батарейки и аккумуляторы;Батарейка;'0.03;'0.1;0;0;86;0;0;1420.0;4900.0;;0%
GGG_Clear_4848;28663473;736057209;RND832448820;'70;Robiton;;53;'5.00;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;0;0;88;0;0;720.0;2900.0;;0%
HHH_Black_4225;52067394;667667379;8,4915E+12;'70;Robiton;;190;'5.00;Батарейки и аккумуляторы;Батарейка;'0.03;'0.1;3;0;468;0;0;940.0;2900.0;;0%
DDD_Red_2803;77990161;361921702;7,44602E+12;'77.5;Robiton;;79;'5.00;Батарейки и аккумуляторы;Батарейка;'0.07;'0.1;1;0;72;0;0;1460.0;4900.0;;0%
CCC_Blue_6413;49991507;201876349;4,72291E+12;'70;KEEPHONE;;5;'4.80;Чехлы;Чехол для смартфона;'0.41;'0.1;3;0;2;0;0;11990.0;11990.0;;0%
BBB_Purple_2912;68942875;588081975;RND245965525;'70;KEEPHONE;;22;'4.90;Чехлы;Чехол для смартфона;'0.41;'0.1;5;1;10;0;0;5990.0;11990.0;;0%
AAA_Pink_4756;62235684;903125475;1,80722E+12;'90;KEEPHONE;;301;'4.80;Чехлы;Чехол для смартфона;'0.39;'0.1;83;1;10;0;0;5980.0;11990.0;;0%
FFF_Clear_8370;92727952;855259665;RND721994899;'70;KEEPHONE;;112;'4.90;Чехлы;Чехол для смартфона;'0.48;'0.1;0;0;0;0;0;2650.0;3490.0;;0%
EEE_Green_9742;35421823;495473001;RND230757446;'70;Robiton;;27;'4.80;Батарейки и аккумуляторы;Батарейка;'0.02;'0.1;2;0;5;0;0;860.0;2900.0;;0%
AAA_Black_9762;58452083;340418054;8,43069E+12;'70;Robiton;;10;'4.80;Батарейки и аккумуляторы;Батарейка;'0.03;'0.2;0;0;0;0;0;690.0;1090.0;;0%
EEE_Pink_4898;18386274;428131110;RND463536535;'70;Robiton;;41;'4.80;Батарейки и аккумуляторы;Батарейка;'0.21;'0.5;1;0;32;0;0;2900.0;11990.0;;0%
GGG_Blue_2566;27378295;766401956;RND678305707;'70;Robiton;;41;'4.70;Батарейки и аккумуляторы;Батарейка;'0.01;'0.1;12;0;1;0;0;900.0;2900.0;;0%
EEE_Green_3323;84888512;734535044;RND112978479;'70;Robiton;;36;'4.70;Батарейки и аккумуляторы;Батарейка;'0.14;'0.2;0;0;0;0;0;1250.0;1990.0;;0%
BBB_Purple_8018;68149765;985601999;3,59838E+12;'70;Robiton;;42;'4.80;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.02;'0.1;10;0;0;0;0;3380.0;11990.0;;0%
FFF_White_5263;58519965;509046242;4,87559E+12;'70;Robiton;;26;'4.80;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.04;'0.1;3;0;7;0;0;5800.0;11990.0;;0%
EEE_Green_9795;46303448;713243624;RND897656376;'70;Robiton;;30;'4.80;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.09;'0.2;3;0;0;0;0;10400.0;11990.0;;0%
EEE_Purple_9678;34751007;917704807;RND807225686;'70;Robiton;;126;'4.70;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.01;'0.1;26;0;495;0;0;1980.0;7900.0;;0%
AAA_Clear_6434;95808454;545883439;RND696890958;'70;Robiton;;165;'4.70;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.03;'0.1;10;0;480;0;0;3600.0;11990.0;;0%
GGG_Pink_7425;91311644;993636921;9,24588E+12;'70;Robiton;;93;'4.70;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.06;'0.1;5;0;487;0;0;6200.0;11990.0;;0%
GGG_Purple_7302;64089075;534082647;4,00436E+12;'70;Robiton;;6;'5.00;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.11;'0.1;0;0;0;0;0;4600.0;11990.0;;0%
EEE_Pink_7794;70867197;778648943;1,15337E+12;'70;Robiton;;11;'5.00;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.22;'0.1;0;0;0;0;0;8200.0;11990.0;;0%
FFF_Green_3427;91669332;950639470;6,30427E+12;'70;Robiton;;5;'5.00;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.43;'0.2;0;0;0;0;0;11990.0;11990.0;;0%
AAA_Titanium_6208;21059414;589981340;RND395873119;'70;Robiton;;15;'4.80;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.03;'0.1;5;0;0;0;0;2100.0;7900.0;;0%
CCC_Green_2957;42464834;309828091;RND133630876;'70;Robiton;;41;'4.80;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.06;'0.1;6;0;20;0;0;3400.0;11990.0;;0%
EEE_Black_6295;98875006;925134911;9,82027E+12;'70;Robiton;;28;'4.80;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.11;'0.2;0;0;0;0;0;2500.0;3290.0;;0%
CCC_Red_8685;30038596;226840473;2,72789E+12;'45;KEEPHONE;;0;'0.00;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;2150.0;2990.0;;0%
GGG_Red_8906;70591490;583041496;RND816905756;'70;KEEPHONE;;12;'4.80;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;3500.0;5290.0;;0%
CCC_Titanium_8246;47547508;972132556;RND713967331;'70;;;11;'5.00;Чехлы;;'0.36;'0.1;0;0;0;0;0;10380.0;11990.0;;0%
HHH_Black_4644;95925500;570467567;RND365318815;'77.5;KEEPHONE;;2;'0.00;Чехлы;Чехол для смартфона;'0.48;'0.1;7;0;0;0;0;5100.0;11990.0;;0%
FFF_Black_3652;24644733;204693598;8,11454E+12;'70;KEEPHONE;;73;'4.80;Чехлы;Чехол для смартфона;'0.48;'0.1;0;0;0;0;0;3477.0;4250.0;;0%
BBB_Pink_2547;42995511;948827496;RND221292726;'70;KEEPHONE;;51;'5.00;Чехлы;Чехол для смартфона;'0.48;'0.1;0;0;0;0;0;3190.0;4250.0;;0%
AAA_Clear_7272;61471133;919508620;RND811033965;'65;Robiton;;9;'3.70;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.20;'0.1;3;0;0;0;0;3800.0;11990.0;;0%
CCC_Pink_7226;52732703;981028659;RND254552376;'65;Robiton;;3;'3.70;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.41;'0.1;0;0;2;0;0;6200.0;11990.0;;0%
GGG_Green_7035;10991330;240790626;RND230779116;'65;Robiton;;5;'4.20;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.15;'0.1;3;0;4;0;0;2600.0;11990.0;;0%
EEE_Blue_3320;79101202;698393481;8,30776E+12;'65;Robiton;;3;'4.20;Батарейки и аккумуляторы;Аккумуляторная батарейка;'0.31;'0.1;1;0;0;0;0;3780.0;11990.0;;0%
BBB_Clear_2976;87706785;814991454;1,73539E+12;'62.5;KZDOO;;238;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;3180.0;11990.0;;0%
CCC_Clear_4137;59157402;848568873;RND456546474;'52.5;KZDOO;;173;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;3100.0;11990.0;;0%
DDD_White_9097;24499014;439645384;6,3293E+12;'45;KZDOO;;161;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;17;0;0;0;0;3180.0;11990.0;;0%
FFF_Titanium_9574;78722650;828518768;RND608829649;'70;KZDOO;;26;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;9;0;5;0;0;9180.0;11990.0;;0%
EEE_Pink_4218;72952203;932286552;1,16794E+12;'77.5;KZDOO;;70;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;15;0;8;0;0;6738.0;11990.0;;0%
HHH_White_4631;24565729;975968568;7,13683E+12;'70;KZDOO;;16;'4.50;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;1;0;0;9180.0;11990.0;;0%
DDD_Green_9844;15211947;417686444;2,18593E+12;'70;KZDOO;;77;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;9;0;0;6738.0;11990.0;;0%
GGG_Blue_3143;50877595;873108366;6,14993E+12;'70;KEEPHONE;;4;'4.60;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;3350.0;5290.0;;0%
GGG_Pink_2020;44062204;908617591;RND190163618;'70;K-DOO;;4;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;5380.0;11990.0;;0%
BBB_Black_4746;13642174;358043036;8,05876E+12;'45;KZDOO;;0;'0.00;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;1;0;0;5500.0;11990.0;;0%
HHH_Green_6659;40911969;977958910;1,71911E+12;'45;KZDOO;;0;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;6090.0;9000.0;;0%
AAA_Pink_6484;60672089;492012093;9,80443E+12;'45;KZDOO;;0;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;11990.0;11990.0;;0%
AAA_White_5168;78884710;251137131;RND844829322;'77.5;KZDOO;;4;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;11990.0;11990.0;;0%
HHH_Green_4614;53249946;140421769;4,51242E+12;'55;KZDOO;;141;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1624.0;2350.0;;0%
FFF_Clear_3563;14809114;277305383;9,00168E+12;'80;KZDOO;;117;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;34;0;19;0;0;2980.0;11990.0;;0%
BBB_Black_9984;84867052;380364090;RND797103292;'70;KZDOO;;18;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;7;0;10;0;0;3980.0;11990.0;;0%
FFF_Green_9273;21286645;450279333;RND708992898;'52.5;KZDOO;;56;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;0;0;0;2200.0;7900.0;;0%
CCC_Titanium_7668;26677770;193843548;6,72564E+12;'70;KEEPHONE;;13;'4.90;Чехлы;Чехол для смартфона;'0.38;'0.1;0;0;0;0;0;3700.0;11990.0;;0%
BBB_Clear_6099;39478464;339972463;7,97525E+12;'70;KEEPHONE;;3;'4.60;Чехлы;Чехол для смартфона;'0.38;'0.1;1;0;0;0;0;3700.0;11990.0;;0%
HHH_Clear_8794;80507859;180735867;RND647032450;'70;KZDOO;;12;'4.80;Чехлы;Чехол для смартфона;'2.20;'0.4;2;0;10;0;0;3500.0;11990.0;;0%
GGG_Titanium_1488;44901759;698233640;5,97108E+12;'70;KZDOO;;2;'4.80;Чехлы;Чехол для смартфона;'2.20;'0.4;4;0;0;0;0;3500.0;11990.0;;0%
AAA_Green_6938;41460381;871302033;6,15358E+12;'70;KZDOO;;62;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;10;0;9;0;0;3816.0;11990.0;;0%
DDD_White_5998;12307278;615621376;6,23617E+12;'77.5;KZDOO;;78;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;7522.0;11990.0;;0%
GGG_Pink_5720;47113990;351369158;RND246803997;'70;KZDOO;;14;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;14;0;10;0;0;6900.0;11990.0;;0%
DDD_Titanium_1016;54781961;263160914;7,27951E+12;'70;KZDOO;;16;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;7522.0;11990.0;;0%
HHH_Black_2849;35771482;199124078;3,17455E+12;'70;KZDOO;;1;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;6638.0;11990.0;;0%
HHH_Pink_8063;71734525;973650423;8,44447E+12;'45;KZDOO;;5;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;20;1;10;0;0;2200.0;7900.0;;0%
AAA_Blue_4026;73335500;295237357;RND950738472;'45;KZDOO;;10;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;10;0;0;5980.0;11990.0;;0%
BBB_Blue_6933;32712151;222381392;RND736806900;'45;KZDOO;;14;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;10;0;0;5980.0;11990.0;;0%
GGG_Red_7442;81893634;315917844;4,59785E+12;'45;KZDOO;;12;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;9;0;0;5980.0;11990.0;;0%
FFF_Purple_2971;84168282;264942263;7,31897E+12;'45;KZDOO;;49;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;11;0;0;0;0;3980.0;11990.0;;0%
FFF_Titanium_8960;12133233;592011493;RND759368479;'70;KZDOO;;31;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;11;0;0;0;0;4100.0;11990.0;;0%
GGG_Red_8930;69113632;983886330;1,4081E+12;'70;KZDOO;;17;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;2100.0;3850.0;;0%
FFF_Clear_1289;55765055;467841969;RND944451733;'70;KZDOO;;77;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;85;0;0;0;0;2980.0;11990.0;;0%
CCC_Green_8797;80809032;949036495;RND591792060;'45;KZDOO;;12;'4.40;Чехлы;Чехол для смартфона;'0.36;'0.1;19;0;0;0;0;2100.0;7900.0;;0%
EEE_Black_7932;86731291;332704319;5,11217E+12;'45;KZDOO;;29;'4.60;Чехлы;Чехол для смартфона;'0.36;'0.1;3;1;0;0;0;3100.0;11990.0;;0%
BBB_Purple_4146;99230127;427044931;8,63838E+12;'70;KZDOO;;37;'4.70;Чехлы;Чехол для смартфона;'0.40;'0.1;9;0;10;0;0;2980.0;11990.0;;0%
BBB_Black_2129;48819696;889193037;2,92901E+12;'70;KZDOO;;14;'4.90;Чехлы;Чехол для наушников;'0.30;'0.1;14;0;10;0;0;5100.0;11990.0;;0%
HHH_Pink_7554;15752189;835545947;RND992495291;'70;KZDOO;;2;'4.90;Чехлы;Чехол для наушников;'0.30;'0.1;2;0;10;0;0;5100.0;11990.0;;0%
CCC_White_6266;63259901;321085775;1,31476E+12;'70;KZDOO;;7;'4.90;Чехлы;Чехол для наушников;'0.30;'0.1;9;0;10;0;0;5100.0;11990.0;;0%
BBB_Black_3665;77056010;583452502;RND213895797;'70;KZDOO;;62;'4.90;Чехлы;Чехол для наушников;'0.30;'0.1;8;0;5;0;0;5430.0;11990.0;;0%
EEE_Titanium_8452;23364814;159363408;3,75878E+12;'70;KZDOO;;19;'4.90;Чехлы;Чехол для наушников;'0.30;'0.1;4;0;10;0;0;5100.0;11990.0;;0%
HHH_White_3571;66097894;686689487;6,68698E+12;'70;KZDOO;;9;'4.90;Чехлы;Чехол для наушников;'0.30;'0.1;13;0;0;0;0;5100.0;11990.0;;0%
CCC_Clear_3162;71602389;683448808;RND665142565;'70;KZDOO;;4;'4.90;Чехлы;Чехол для наушников;'0.30;'0.1;10;0;0;0;0;5100.0;11990.0;;0%
FFF_Red_4458;67982365;480379161;5,22431E+12;'70;KZDOO;;5;'4.90;Чехлы;Чехол для наушников;'0.30;'0.1;0;0;0;0;0;5100.0;11990.0;;0%
HHH_Black_3782;91891061;953119128;RND823665853;'45;KZDOO;;38;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;8;0;0;5980.0;11990.0;;0%
DDD_Red_4608;14737689;149738225;9,47527E+12;'70;;;0;'0.00;Чехлы;;'0.36;'0.1;0;0;1;0;0;10380.0;11990.0;;0%
FFF_Blue_4146;74566460;232037475;RND951567934;'45;KZDOO;;0;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;11316.0;11990.0;;0%
FFF_Green_9542;25133263;879238000;RND269011020;'45;KZDOO;;0;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;9;0;0;0;0;10780.0;11990.0;;0%
FFF_Titanium_6286;28302721;996372180;7,34802E+12;'70;KEEPHONE;;0;'0.00;Чехлы;Чехол для смартфона;'0.41;'0.1;5;0;0;0;0;6990.0;11990.0;;0%
EEE_Pink_7010;82538041;650361537;1,74097E+12;'70;KEEPHONE;;2;'5.00;Чехлы;Чехол для смартфона;'0.41;'0.1;1;0;0;0;0;5990.0;11990.0;;0%
HHH_Red_8358;61043170;900765500;RND144917540;'45;KEEPHONE;;0;'0.00;Чехлы;Чехол для смартфона;'0.28;'0.1;0;0;0;0;0;2690.0;4750.0;;0%
CCC_Black_7296;50339234;387814355;RND308708992;'70;KEEPHONE;;1;'5.00;Чехлы;Чехол для смартфона;'0.28;'0.1;0;0;0;0;0;2933.0;4750.0;;0%
BBB_Blue_2694;30512809;689258670;RND237271876;'45;KEEPHONE;;0;'0.00;Чехлы;Чехол для смартфона;'0.28;'0.1;0;0;0;0;0;2690.0;4750.0;;0%
AAA_Titanium_9014;96808638;139365803;RND424847138;'70;KEEPHONE;;1;'5.00;Чехлы;Чехол для смартфона;'0.28;'0.1;0;0;0;0;0;2933.0;4750.0;;0%
AAA_Black_9253;85687791;176346967;RND813293818;'70;KEEPHONE;;37;'5.00;Чехлы;Чехол для смартфона;'0.28;'0.1;2;0;9;0;0;5980.0;11990.0;;0%
AAA_Black_7343;72010900;854992506;RND963079260;'70;KEEPHONE;;37;'4.90;Чехлы;Чехол для смартфона;'0.28;'0.1;1;0;10;0;1;5980.0;11990.0;;0%
GGG_Black_5281;62592376;693334969;RND783374290;'70;KEEPHONE;;11;'5.00;Чехлы;Чехол для смартфона;'0.41;'0.1;0;0;0;0;0;6990.0;9490.0;;0%
DDD_Titanium_7638;11476432;212628432;3,38575E+12;'70;KEEPHONE;;19;'4.80;Чехлы;Чехол для смартфона;'0.39;'0.1;1;0;0;0;0;6380.0;11990.0;;0%
EEE_Titanium_7662;32826828;573746120;RND905695937;'70;KEEPHONE;;14;'4.40;Чехлы;Чехол для смартфона;'0.39;'0.1;15;0;0;0;0;6990.0;11990.0;;0%
CCC_Clear_6860;84347936;968987280;7,65795E+12;'80;KZDOO;;249;'4.80;Чехлы;Чехол для смартфона;'0.36;'0.1;13;0;0;0;0;3180.0;11990.0;;0%
GGG_White_9441;69586840;507569999;9,93113E+12;'80;KZDOO;;158;'4.70;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;3180.0;11990.0;;0%
AAA_Green_1858;92713858;492317119;7,98932E+12;'45;KZDOO;;18;'4.90;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;10;0;0;2180.0;7900.0;;0%
GGG_Pink_3942;32219595;953055515;8,96115E+12;'45;KZDOO;;22;'5.00;Чехлы;Чехол для смартфона;'0.36;'0.1;12;0;10;0;0;2200.0;7900.0;;0%
AAA_Purple_1560;16225379;195258473;4,36329E+12;'70;KEEPHONE;;4;'4.80;Чехлы;Чехол для смартфона;'0.41;'0.1;0;0;0;0;0;6190.0;8990.0;;0%
