Артикул;Ozon Product ID;SKU;Barcode;Название товара;Контент-рейтинг;Бренд;Статус товара;Метки;Отзывы;Рейтинг;Видимость на Ozon;Причины скрытия;Дата создания;Категория;Тип;Объем товара, л;Объемный вес, кг;Доступно к продаже по схеме FBO, шт.;Зарезервировано, шт;Доступно к продаже по схеме FBS, шт.;Доступно к продаже по схеме realFBS, шт.;Зарезервировано на моих складах, шт;Текущая цена с учетом скидки, ₽;Цена до скидки (перечеркнутая цена), ₽;Цена Premium, ₽;Размер НДС, %
Case_Pink_9414;70052491;567176117;RND196586661;Чехол для Samsung Galaxy S24 ультратонкий KZDOO Air Carbon с защитой камер, фиолетовый супертонкий чехол для Самсунг Галакси S24;'70;KZDOO;Продается;;45;'4.80;Показывается;;05.07.2024 8:56;Чехлы;Чехол для смартфона;'0.36;'0.1;9;0;10;0;0;3100.0;11990.0;;0%
Cable_White_7157;45924993;841862476;RND506196290;Чехол для Samsung Galaxy S24 KZDOO (K-DOO) Air Skin с защитой камер, синий супертонкий чехол для Самсунг Галакси S24;'70;KZDOO;Продается;;16;'4.80;Показывается;;05.07.2024 8:59;Чехлы;Чехол для смартфона;'0.36;'0.1;17;0;10;0;0;2880.0;11990.0;;0%
Battery_Clear_2232;81200964;330941717;RND869458810;Чехол для Samsung Galaxy S24 KZDOO (K-DOO) Air Skin с защитой камер, титанового цвета супертонкий чехол для Самсунг Галакси S24;'70;KZDOO;Продается;;32;'4.80;Показывается;;05.07.2024 9:08;Чехлы;Чехол для смартфона;'0.36;'0.1;2;0;0;0;0;2880.0;11990.0;;0%
Cable_Green_9570;89792015;404193174;RND714391872;Чехол для Samsung Galaxy S24 KZDOO (K-DOO) Air Skin с защитой камер, зеленый супертонкий чехол для Самсунг Галакси S24;'70;KZDOO;Продается;;17;'4.80;Показывается;;05.07.2024 9:10;Чехлы;Чехол для смартфона;'0.36;'0.1;1;0;0;0;0;2880.0;11990.0;;0%
Accessory_Pink_5806;37133754;582262969;8119485325142;Чехол для Samsung Galaxy S24 KZDOO (K-DOO) Air Skin с защитой камер, фиолетовый супертонкий чехол для Самсунг Галакси S24;'70;KZDOO;Готов к продаже;;25;'4.80;Показывается;;05.07.2024 9:12;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;1490.0;2350.0;;0%
Case_Black_4728;32117708;845166833;RND710833599;Чехол для Samsung Galaxy S24 Ultra KZDOO iCoat, розовый чехол для Самсунг S24 Ультра;'45;KZDOO;Продается;;0;'5.00;Показывается;;05.07.2024 10:41;Чехлы;Чехол для смартфона;'0.36;'0.1;9;0;0;0;0;5648.0;11990.0;;0%
Protector_Black_3010;20079776;250403273;2204679996258;Чехол для Samsung Galaxy S24 Ultra KZDOO iCoat, черный чехол для Самсунг S24 Ультра;'45;KZDOO;Продается;;2;'5.00;Показывается;;05.07.2024 10:41;Чехлы;Чехол для смартфона;'0.36;'0.1;6;0;0;0;0;5180.0;11990.0;;0%
Accessory_Black_7413;47329287;642554098;RND547378137;Чехол для Samsung Galaxy S24 Ultra KZDOO iCoat, фиолетовый чехол для Самсунг S24 Ультра;'45;KZDOO;Продается;;0;'5.00;Показывается;;05.07.2024 10:41;Чехлы;Чехол для смартфона;'0.36;'0.1;3;0;0;0;0;5180.0;11990.0;;0%
Accessory_Titanium_9254;45659002;567529402;7216892810181;Чехол для Samsung Galaxy S24 Ultra KZDOO iCoat, синий чехол для Самсунг S24 Ультра;'45;KZDOO;Готов к продаже;;0;'5.00;Показывается;;05.07.2024 10:41;Чехлы;Чехол для смартфона;'0.36;'0.1;0;0;0;0;0;5648.0;11990.0;;0%
Adapter_Titanium_8960;77221484;325644570;1336007527367;Чехол для Samsung Galaxy S24 Ultra KZDOO iCoat, зеленый чехол для Самсунг S24 Ультра;'45;KZDOO;Продается;;0;'5.00;Показывается;;05.07.2024 10:41;Чехлы;Чехол для смартфона;'0.36;'0.1;4;0;0;0;0;5648.0;11990.0;;0%
