"Браузер","Версия браузера","Полная версия браузера","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","","","111","27","0.8378378378378379","1.3153153153153154","00:01:29"
"Яндекс.Браузер","Яндекс.Браузер 25","Яндекс.Браузер 25.8","31","4","0.7419354838709676","1.7096774193548387","00:02:23"
"Яндекс.Браузер","Яндекс.Браузер 25","Яндекс.Браузер 25.10","28","2","0.8928571428571429","1.1785714285714286","00:01:21"
"Google Chrome","Google Chrome 142","Google Chrome 142.0","23","5","0.782608695652174","1.2608695652173914","00:02:01"
"Google Chrome","Google Chrome 141","Google Chrome 141.0","19","11","0.9473684210526315","1.0526315789473684","00:00:20"
"Google Chrome","Google Chrome 103","Google Chrome 103.0","8","8","1.0","1.0","00:00:00"
"Яндекс.Браузер","Яндекс.Браузер 25","Яндекс.Браузер 25.4","2","2","0.5","1.5","00:00:31"
